FK_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Child_Table_Name,Referred_Table_Name,Engineer,Delete_Rule,Child_Table_ID,Num_Child_Table_ID,Referred_Table_ID,Num_Referred_Table_ID,Referred_Key_ID,Num_Referred_Key_ID,Number_Of_Columns
DRIVER_COUNTRY_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,06EEE26D-B911-004D-B586-C22EF2648659,290,,DIM_DRIVER,DIM_COUNTRY,Y,RESTRICT,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,2442F951-6B65-9607-CF72-8013B4C6E38B,116,47032EA3-2FAA-792E-57B7-135BAA4DAF28,252,1,
DRIVER_DAY_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,CBC387F2-2633-E990-3E89-6D7007686C47,291,,DIM_DRIVER,DIM_DAY,Y,RESTRICT,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,5D558E19-A5ED-F738-AE79-93CDC1A119EF,253,1,
DRIVER_DAY_FKv2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,FC653E7F-3E3F-CB95-825F-631DA1A30D26,292,,DIM_DRIVER,DIM_DAY,Y,NO ACTION,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,5D558E19-A5ED-F738-AE79-93CDC1A119EF,253,1,
GP_RESULTS_CHASSIS_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,C7D639C5-D79E-6820-04A0-DEBEFD9B3427,293,,FACT_GRAND_PRIX_RESULTS,DIM_CHASSIS,Y,RESTRICT,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,DDAA11B5-3E55-1F63-63D7-301E36B9FD5F,115,77AFAE72-0E9E-9E5F-0C82-B4E53A2C8540,249,1,
GP_RESULTS_DAY_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,CA269F0F-E8F7-311C-B577-2AE0BADE46F4,294,,FACT_GRAND_PRIX_RESULTS,DIM_DAY,Y,RESTRICT,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,5D558E19-A5ED-F738-AE79-93CDC1A119EF,253,1,
GP_RESULTS_DRIVER_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,D7F2E720-D2D8-C615-3777-296D465880FC,295,,FACT_GRAND_PRIX_RESULTS,DIM_DRIVER,Y,RESTRICT,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,4D03818E-6A9F-0CE1-4E60-50335F8F6365,255,1,
GP_RESULTS_ENGINE_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,13E4C7B4-A7EE-F147-CBD1-2C2F00AC1F06,296,,FACT_GRAND_PRIX_RESULTS,DIM_ENGINE,Y,RESTRICT,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,0C9E88A4-3582-1030-963D-D6495DD9F828,257,1,
GP_RESULTS_GRAND_PRIX_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,FC05DC05-C3CA-EED2-2A5F-1384FDAA6E7B,297,,FACT_GRAND_PRIX_RESULTS,DIM_GRAND_PRIX,Y,RESTRICT,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,A396DFAF-ED3D-87AD-2E85-BB88F7CE7331,259,1,
GP_RESULTS_POSITION_ATTRIBUTES_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,B3870E86-20D3-6493-D287-18644469ECE9,298,,FACT_GRAND_PRIX_RESULTS,DIM_POSITION_ATTRIBUTES,Y,RESTRICT,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,CF63D479-C754-03CB-A268-814AFF768BF6,121,2399487E-7DB8-0387-7374-C50556341818,262,1,
GP_RESULTS_RACE_ATTRIBUTES_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,2C34B3E0-AD15-27DB-010C-E16BF84C35AC,299,,FACT_GRAND_PRIX_RESULTS,DIM_RACE_ATTRIBUTES,Y,RESTRICT,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,3E5D7780-D524-CA2B-A5B5-B59B93BC0876,122,8C8BFDA6-9316-E9E2-CED3-C905EEC930DF,264,1,
GP_RESULTS_SEASON_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,63277F78-1896-1E5A-0643-CB4EDECDBFEE,300,,FACT_GRAND_PRIX_RESULTS,DIM_SEASON,Y,RESTRICT,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,AD85BAF5-B96B-8996-A633-F720F065C955,266,1,
GP_RESULTS_TEAM_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,F6073539-DA24-A3A6-F80A-817EA7F1D9ED,301,,FACT_GRAND_PRIX_RESULTS,DIM_TEAM,Y,RESTRICT,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,A8BA1510-7FD7-71DE-26A5-59D8436BFDE2,268,1,
GP_RESULTS_TRACK_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,73123DA2-7732-C124-6932-427E085E846F,302,,FACT_GRAND_PRIX_RESULTS,DIM_TRACK,Y,RESTRICT,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,726CE839-6848-A7D0-8E54-2C6362C72643,125,C638CAC3-0C60-88F1-54CE-6648D360725E,270,1,
GP_RESULTS_TYRES_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,157E04F5-6DE9-E6E2-AEC9-515BADB0100E,303,,FACT_GRAND_PRIX_RESULTS,DIM_TYRES,Y,RESTRICT,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,644BE957-24C4-9BD7-90E8-1A064B389442,272,1,
TEAM_COUNTRY_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,C9E7B59A-C2DE-AC4B-ADE1-C32FF6873445,304,,DIM_TEAM,DIM_COUNTRY,Y,RESTRICT,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,2442F951-6B65-9607-CF72-8013B4C6E38B,116,47032EA3-2FAA-792E-57B7-135BAA4DAF28,252,1,
TRACK_COUNTRY_FK,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,D6CC6C8B-EF6B-C989-A6CC-2815F6C632FD,305,,DIM_TRACK,DIM_COUNTRY,Y,RESTRICT,726CE839-6848-A7D0-8E54-2C6362C72643,125,2442F951-6B65-9607-CF72-8013B4C6E38B,116,47032EA3-2FAA-792E-57B7-135BAA4DAF28,252,1,
