Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
CHASSIS_PK,77AFAE72-0E9E-9E5F-0C82-B4E53A2C8540,249,,DDAA11B5-3E55-1F63-63D7-301E36B9FD5F,115,Primary Constraint,,N,Y,DIM_CHASSIS,N,,,,
CHASSIS_CODE_UK,61E84A2A-5FFF-69B5-319F-CD553AD342DD,250,,DDAA11B5-3E55-1F63-63D7-301E36B9FD5F,115,Unique Constraint,,N,Y,DIM_CHASSIS,N,,,,
COUNTRY_CODE_UK,2D6AC0B8-DFC2-3E59-9DC4-1CCE95C0B48A,251,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,Unique Constraint,,N,Y,DIM_COUNTRY,N,,,,
COUNTRY_PK,47032EA3-2FAA-792E-57B7-135BAA4DAF28,252,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,Primary Constraint,,N,Y,DIM_COUNTRY,N,,,,
DATE_PK,5D558E19-A5ED-F738-AE79-93CDC1A119EF,253,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Primary Constraint,,N,Y,DIM_DAY,N,,,,
DAY_DATE_UK,91BB227C-C6FE-0B4D-A793-74513B1EDFCE,254,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Unique Constraint,,N,Y,DIM_DAY,N,,,,
DRIVER_PK,4D03818E-6A9F-0CE1-4E60-50335F8F6365,255,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Primary Constraint,,N,Y,DIM_DRIVER,N,,,,
DRIVER_UK,63CEEC90-8593-3175-9956-658147CF5237,256,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Unique Constraint,,N,Y,DIM_DRIVER,N,,,,
ENGINE_PK,0C9E88A4-3582-1030-963D-D6495DD9F828,257,,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,Primary Constraint,,N,Y,DIM_ENGINE,N,,,,
ENGINE_CODE_UK,458BCEF8-DCB7-AB1C-4DFF-47429172AB9F,258,,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,Unique Constraint,,N,Y,DIM_ENGINE,N,,,,
GRAND_PRIX_PK,A396DFAF-ED3D-87AD-2E85-BB88F7CE7331,259,,2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,Primary Constraint,,N,Y,DIM_GRAND_PRIX,N,,,,
GRAND_PRIX_CODE_PK,ADDA37D9-4F3C-B1F9-A428-E6882D0F6C18,260,,2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,Unique Constraint,,N,Y,DIM_GRAND_PRIX,N,,,,
GP_RESULTS_UN,F8B3143F-A864-3937-1158-A29015BA5CF4,261,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Unique Constraint,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
POSITION_ATTRIBUTES_PK,2399487E-7DB8-0387-7374-C50556341818,262,,CF63D479-C754-03CB-A268-814AFF768BF6,121,Primary Constraint,,N,Y,DIM_POSITION_ATTRIBUTES,N,,,,
POSITION_ATTRIBUTES_UK,E077B112-EEFE-8BEB-5F54-BAC65DF6DA1F,263,,CF63D479-C754-03CB-A268-814AFF768BF6,121,Unique Constraint,,N,Y,DIM_POSITION_ATTRIBUTES,N,,,,
RACE_ATTRIBUTES_PK,8C8BFDA6-9316-E9E2-CED3-C905EEC930DF,264,,3E5D7780-D524-CA2B-A5B5-B59B93BC0876,122,Primary Constraint,,N,Y,DIM_RACE_ATTRIBUTES,N,,,,
RACE_ATTRIBUTES_UK,89D024C4-6857-AE1D-1DFC-3396E8795D38,265,,3E5D7780-D524-CA2B-A5B5-B59B93BC0876,122,Unique Constraint,,N,Y,DIM_RACE_ATTRIBUTES,N,,,,
SEASON_PK,AD85BAF5-B96B-8996-A633-F720F065C955,266,,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,Primary Constraint,,N,Y,DIM_SEASON,N,,,,
SEASON_YEAR_UK,60848E74-979D-6757-2DF8-AF789370E2C6,267,,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,Unique Constraint,,N,Y,DIM_SEASON,N,,,,
TEAM_PK,A8BA1510-7FD7-71DE-26A5-59D8436BFDE2,268,,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,Primary Constraint,,N,Y,DIM_TEAM,N,,,,
TEAM_NAME_UK,2AE5106D-3313-B035-48AD-889895BE9E05,269,,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,Unique Constraint,,N,Y,DIM_TEAM,N,,,,
TRACK PK,C638CAC3-0C60-88F1-54CE-6648D360725E,270,,726CE839-6848-A7D0-8E54-2C6362C72643,125,Primary Constraint,,N,Y,DIM_TRACK,N,,,,
TRACK_NAME_UK,C8D34D67-D546-19E7-AE5B-4A293A4629E6,271,,726CE839-6848-A7D0-8E54-2C6362C72643,125,Unique Constraint,,N,Y,DIM_TRACK,N,,,,
TYRES_PK,644BE957-24C4-9BD7-90E8-1A064B389442,272,,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,Primary Constraint,,N,Y,DIM_TYRES,N,,,,
TYRES_CODE_UK,4D16819E-C434-0666-1F49-1E6D328C31FB,273,,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,Unique Constraint,,N,Y,DIM_TYRES,N,,,,
DRIVER_DAY_FK,C0B0418F-F50D-19B7-260C-00D0839E0D31,274,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Foreign Key,,N,Y,DIM_DRIVER,N,,,,
GP_RESULTS_DAY_FK,84226CCA-38E2-B80A-6E6F-A217CC2B1ADB,275,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Foreign Key,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
GP_RESULTS_DRIVER_FK,0EEF4FA2-A9A0-2FB5-1C12-CD0E5EB33075,276,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Foreign Key,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
GP_RESULTS_TEAM_FK,2AEF74FB-09B0-2A1A-1804-FFCC79B1B483,277,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Foreign Key,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
GP_RESULTS_TRACK_FK,C3618736-9207-D0F2-A1EF-D2C977A46155,278,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Foreign Key,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
GP_RESULTS_CHASSIS_FK,726547C9-A116-2348-0F0C-FD95EC15CB7E,279,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Foreign Key,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
GP_RESULTS_ENGINE_FK,DBE79161-ADB8-691E-9F8C-E12BEE68306A,280,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Foreign Key,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
GP_RESULTS_SEASON_FK,879DB6E1-2EBD-EE89-A9B3-15A17856F07B,281,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Foreign Key,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
GP_RESULTS_GRAND_PRIX_FK,0E6F3D27-CD2D-563D-E312-3DCD6F792D18,282,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Foreign Key,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
DRIVER_COUNTRY_FK,1ED3443E-46A9-A3C3-13F8-E3F45C63E0A8,283,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Foreign Key,,N,Y,DIM_DRIVER,N,,,,
GP_RESULTS_RACE_ATTRIBUTES_FK,E6FED96E-168E-18CF-E777-3DE26289B6F7,284,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Foreign Key,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
GP_RESULTS_TYRES_FK,83B5DE81-6E2B-5A7D-3148-123310AA94A7,285,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Foreign Key,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
GP_RESULTS_POSITION_ATTRIBUTES_FK,573CC899-DDAA-7941-C4C9-FED93B54518F,286,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Foreign Key,,N,Y,FACT_GRAND_PRIX_RESULTS,N,,,,
DRIVER_DAY_FKv2,A65E3202-B538-FC6C-2F51-9D5BD9F9D2C8,287,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Foreign Key,,N,Y,DIM_DRIVER,N,,,,
TRACK_COUNTRY_FK,73196C3B-4C45-25E2-E186-424D95B67022,288,,726CE839-6848-A7D0-8E54-2C6362C72643,125,Foreign Key,,N,Y,DIM_TRACK,N,,,,
TEAM_COUNTRY_FK,DDB22A73-1848-1CEF-0A52-1A3BA712CC91,289,,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,Foreign Key,,N,Y,DIM_TEAM,N,,,,
